run,elapsed_s,state,raw_fd,raw_fd_position,max_raw_fd_position,dump_count,dump_bytes,rchar,wchar,read_bytes,write_bytes,signal
C3,23.665079,running,27,3064553472,3064553472,10,2605056,3065370520,2686480,0,94208,
C3,24.171531,running,27,3124256768,3124256768,10,5112192,3125442456,5201808,0,94208,
C3,24.680618,running,27,3186765824,3186765824,10,7717248,3187783576,7815056,0,94208,
C3,25.1891,running,27,3238866944,3238866944,10,9870208,3240253336,10000784,0,94208,
C3,25.702647,running,27,3300487168,3300487168,10,12441728,3301541784,12521360,0,94208,
C3,26.21111,running,27,3362095104,3362095104,10,14980480,3363153816,15061904,0,94208,
C3,26.720061,running,27,3427786752,3427786752,10,17726144,3428726680,17812880,0,94208,
C3,27.227599,running,27,3487850496,3487850496,10,20197248,3488995224,20278672,0,94208,
C3,27.737021,running,27,3548098560,3548098560,10,22751616,3549222808,22824848,0,94208,
C3,28.246277,running,27,3608137728,3608137728,10,25240448,3609118616,25338256,0,94208,
C3,28.754818,running,27,3667836928,3667836928,10,27714432,3669084056,27795856,0,94208,
C3,29.264798,running,27,3727085568,3727085568,10,30170496,3728041880,30251920,0,94208,
C3,29.772238,running,27,3789295616,3789295616,10,32791936,3790411672,32865168,0,94208,
C3,30.281183,running,27,3851464704,3851464704,10,35370880,3852552088,35444112,0,94208,
C3,30.789423,running,27,3914530816,3914530816,10,37986240,3915556760,38072208,0,94208,
C3,31.297487,running,27,3975168000,3975168000,10,40509376,3976054680,40603536,0,94208,
C3,31.805916,running,27,4035731456,4035731456,10,43035520,4036683672,43133328,0,94208,
C3,32.314053,running,27,4101226496,4101226496,10,45732736,4102088600,45814160,0,94208,
C3,32.821172,running,27,4164259840,4164259840,10,48366976,4165314456,48443428,0,98304,
C3,33.329434,running,27,4226457600,4226457600,10,50970496,4227643288,51046948,0,98304,
C3,33.839603,running,27,4279615488,4279615488,10,53165952,4280543128,53250596,0,98304,
C3,34.347673,running,27,4333453312,4333453312,10,55376256,4334143384,55501860,0,98304,
C3,34.854279,running,27,4387553280,4387553280,10,57670016,4388439960,57746468,0,98304,
C3,35.361442,running,27,4452130816,4452130816,10,60347264,4452620184,60423716,0,98304,
C3,35.867836,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,36.381164,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,36.887547,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,37.391946,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,37.896882,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,38.400415,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,38.90471,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,39.40834,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,39.914451,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,40.41819,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,
C3,40.923896,running,27,4500000000,4500000000,10,62337920,4500186264,62414372,0,98304,SIGINT
C0_repeat,1e-05,running,,,,0,0,1748,0,0,0,
C0_repeat,0.502488,running,,,,6,0,145985,43656,0,57344,
C0_repeat,1.005538,running,,,,10,0,182901,73232,0,94208,
C0_repeat,1.509687,running,27,15904768,15904768,10,0,16381853,73232,0,94208,
C0_repeat,2.012076,running,27,84545536,84545536,10,0,85047197,73232,0,94208,
C0_repeat,2.51502,running,27,240320512,240320512,10,0,240756637,73232,0,94208,
C0_repeat,3.017451,running,27,392077312,392077312,10,0,392550301,73232,0,94208,
C0_repeat,3.520036,running,27,543219712,543219712,10,0,543799197,73232,0,94208,
C0_repeat,4.022336,running,27,697749504,697749504,10,0,698193821,73232,0,94208,
C0_repeat,4.526521,running,27,827785216,827785216,10,0,828549021,73232,0,94208,
C0_repeat,5.029968,running,27,980492288,980492288,10,0,981120925,73232,0,94208,
C0_repeat,5.533386,running,27,1130532864,1130532864,10,0,1130997661,73232,0,94208,
C0_repeat,6.035817,running,27,1281466368,1281466368,10,0,1282062237,73232,0,94208,
C0_repeat,6.539301,running,27,1411837952,1411837952,10,0,1412282269,73232,0,94208,
C0_repeat,7.042236,running,27,1492049920,1492049920,10,0,1492494237,73232,0,94208,
C0_repeat,7.545429,running,27,1577029632,1577029632,10,0,1577506717,73232,0,94208,
C0_repeat,8.048705,running,27,1667002368,1667002368,10,0,1667446685,73232,0,94208,
C0_repeat,8.551851,running,27,1758367744,1758367744,10,0,1758918557,73232,0,94208,
C0_repeat,9.055044,running,27,1833455616,1833455616,10,0,1834010525,73232,0,94208,
C0_repeat,9.558537,running,27,1920126976,1920126976,10,0,1920571293,73232,0,94208,
C0_repeat,10.061587,running,27,2004041728,2004041728,10,0,2004584349,73232,0,94208,
C0_repeat,10.564623,running,27,2121187328,2121187328,10,0,2121901981,73232,0,94208,
C0_repeat,11.067718,running,27,2213552128,2213552128,10,0,2213963677,73232,0,94208,
C0_repeat,11.570936,running,27,2312183808,2312183808,10,0,2312685469,73232,0,94208,
C0_repeat,12.073854,running,27,2411634688,2411634688,10,0,2412103581,73232,0,94208,
C0_repeat,12.576636,running,27,2508390400,2508390400,10,0,2508830621,73232,0,94208,
C0_repeat,13.079123,running,27,2605371392,2605371392,10,0,2605811613,73232,0,94208,
C0_repeat,13.581731,running,27,2689122304,2689122304,10,0,2689501085,73232,0,94208,
C0_repeat,14.084107,running,27,2770112512,2770112512,10,0,2770425757,73232,0,94208,
C0_repeat,14.586727,running,27,2849787904,2849787904,10,0,2850133917,73232,0,94208,
C0_repeat,15.089003,running,27,2910842880,2910842880,10,0,2911221661,73232,0,94208,
C0_repeat,15.591993,running,27,2989461504,2989461504,10,0,2989873053,73232,0,94208,
C0_repeat,16.095223,running,27,3050156032,3050156032,10,2023424,3050952605,2096656,0,94208,
C0_repeat,16.60248,running,27,3111297024,3111297024,10,4555136,3112253341,4628368,0,94208,
C0_repeat,17.110217,running,27,3172364288,3172364288,10,7094656,3173353373,7167888,0,94208,
C0_repeat,17.618181,running,27,3233464320,3233464320,10,9649024,3234453405,9738640,0,94208,
C0_repeat,18.126306,running,27,3294154752,3294154752,10,12147584,3295041437,12229008,0,94208,
C0_repeat,18.633735,running,27,3355496448,3355496448,10,14759296,3356612509,14832528,0,94208,
C0_repeat,19.142826,running,27,3416924160,3416924160,10,17280896,3417851805,17354128,0,94208,
C0_repeat,19.650482,running,27,3480928256,3480928256,10,19937984,3482011549,20024720,0,94208,
C0_repeat,20.158889,running,27,3543597056,3543597056,10,22555008,3544512413,22644624,0,94208,
C0_repeat,20.666173,running,27,3605032960,3605032960,10,25092992,3606116253,25174416,0,94208,
C0_repeat,21.174308,running,27,3667632128,3667632128,10,27714432,3668518813,27787664,0,94208,
C0_repeat,21.681526,running,27,3730628608,3730628608,10,30326144,3731314589,30399376,0,94208,
C0_repeat,22.187267,running,27,3792728064,3792728064,10,32947584,3793815453,33029008,0,94208,
C0_repeat,22.696262,running,27,3855458304,3855458304,10,35559296,3856713629,35632528,0,94208,
C0_repeat,23.206516,running,27,3918925824,3918925824,10,38162816,3919812509,38236048,0,94208,
C0_repeat,23.713744,running,27,3971727360,3971727360,10,40350080,3972712349,40447888,0,94208,
C0_repeat,24.221739,running,27,4033675264,4033675264,10,42954944,4034590621,43051408,0,94208,
C0_repeat,24.729531,running,27,4095954944,4095954944,10,45517696,4097116061,45607312,0,94208,
