pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s3-a-sao-paulo,doppler-locked,23,11,0.7448064067289503,0.5547365835044905,0.8279829373556773,1.1116753694319346,0.036955246220159554,0.0639987445124598,False
ccfs-s3-a-sao-paulo,doppler-locked,24,11,0.8004831806780429,0.6407733225484363,0.8039900985985982,1.0043810013816712,0.03272132133889463,0.038618453001659864,True
ccfs-s3-a-sao-paulo,doppler-locked,25,11,0.7554386450996569,0.5706875465100053,0.7236987567194576,0.9579848230083432,0.03867278656245504,0.05123777343264529,True
ccfs-s3-a-sao-paulo,doppler-locked,26,11,0.7145039260610647,0.5105158603566754,0.6935200231310955,0.970631507869173,0.036824682553063315,0.09465919469291033,False
ccfs-s3-a-sao-paulo,doppler-locked,27,11,0.8523254743647183,0.726458714251042,0.7855604381539063,0.9216672055231304,0.034720687347101396,0.00809758019836023,True
ccfs-s3-a-sao-paulo,doppler-locked,28,11,0.7413206139073166,0.5495562526039208,0.6954034380910403,0.938060300826847,0.0347883961577036,0.0432186471286187,True
ccfs-s3-a-sao-paulo,doppler-locked,29,11,0.9033938158324086,0.8161203864842398,0.9553472644434339,1.0575091922265976,0.03527084159583002,0.0004639624445878837,True
ccfs-s4-a-sydney,carrier-coupled,12,11,0.9250745636088329,0.8557629482360726,0.9010442853483114,0.9740234147539671,0.044511373412577916,0.00015751139096168706,True
ccfs-s4-a-sydney,carrier-coupled,13,11,0.6474116744555835,0.4191418762213824,0.6781068756764101,1.0474121836722186,0.04946759124266796,0.17522515891463286,False
ccfs-s4-a-sydney,carrier-coupled,14,11,0.8599024491956968,0.7394322221327579,0.9500011690762209,1.1047778384220173,0.055302029610238224,0.014120998506275158,True
ccfs-s4-a-sydney,carrier-coupled,15,11,0.8757773659228727,0.7669859946628053,1.1152015914132531,1.27338480623792,0.05563559885499562,0.0018938691676556498,True
ccfs-s4-a-sydney,carrier-coupled,16,11,0.8566560080808554,0.7338595161810266,1.0171828934031022,1.1873878007134635,0.0452637218271201,0.010706386654554964,True
ccfs-s4-a-sydney,carrier-coupled,17,11,0.8526086223770052,0.7269414629516147,1.0992170528747547,1.289239897445823,0.05156978677539846,0.003442950744332758,True
ccfs-s4-a-sydney,carrier-coupled,18,10,0.9358470965047618,0.875809788036393,1.034457695268883,1.1053704169542398,0.04343491514792125,0.0016319917426891146,True
